State,Crop_Year,Crop,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,nasa_rain_mm,nasa_tmax_c,nasa_tmin_c,rain_mm,temp_mean_c,cwr_mm,deficit_mm,fert_per_ha,pest_per_ha,econ_signal,irr_proxy_mm_base,wb_irrig_pct,observed_irrig_mm,observed_demand_mcm
Punjab,2009,Bajra,3000.0,4000,371.3,467460.0,510.0,1.333333333,,,,371.3,27.0,400,158.65499999999997,155.81999994806,0.16999999994333334,0.5,194.584971607098,35.3416487104871,224.49902216672172,6.734970665001652
Punjab,2009,Cotton(lint),511000.0,2006000,371.3,79624020.0,86870.0,4.052727273,,,,371.3,27.0,850,608.655,155.81999999969506,0.1699999999996673,1.3653572848477145,557.627908500483,35.3416487104871,643.3534879764892,3287.53632355986
Punjab,2009,Gram,3000.0,3400,371.3,467460.0,510.0,1.155555556,,,,371.3,27.0,350,108.65499999999997,155.81999994806,0.16999999994333334,0.5,147.63575640621073,35.3416487104871,170.33218278008894,5.109965483402669
Punjab,2009,Jowar,100.0,100,371.3,15582.0,17.0,1.0,,,,371.3,27.0,450,208.65499999999997,155.8199984418,0.1699999983,0.5,241.5341854891041,35.3416487104871,278.66586003171835,0.2786658600317184
Punjab,2009,Maize,139000.0,475000,371.3,21658980.0,23630.0,3.489166667,,,,371.3,27.0,500,258.655,155.81999999887898,0.16999999999877696,1.1754946252057532,254.70867079802605,35.3416487104871,293.86569301458024,408.47331329026656
Punjab,2009,Rice,2802000.0,11236000,371.3,436607640.0,476340.0,3.9775,,,,371.3,27.0,1200,958.655,155.8199999999444,0.16999999999993934,1.340013337848353,861.7724149424407,35.3416487104871,994.2549154077379,27859.02272972482
Punjab,2009,Sugarcane,60000.0,370000,371.3,9349200.0,10200.0,6.396923077,,,,371.3,27.0,1600,1358.655,155.819999997403,0.16999999999716667,1.5,1209.366136582009,35.3416487104871,1395.2851181766357,837.1710709059814
Punjab,2009,Wheat,3522000.0,15169000,371.3,548798040.0,598740.0,4.3205,,,,371.3,27.0,550,308.655,155.81999999995577,0.16999999999995175,1.4555694848959924,296.93261726529744,35.3416487104871,342.5808358934595,12065.697040167644
Punjab,2010,Arhar/Tur,4200.0,3900,392.7,697662.0,1008.0,0.949,,,,392.7,27.0,450,194.745,166.10999996044998,0.23999999994285712,0.5,240.11161024733696,34.4923791438579,274.9835699251349,11.549309936855664
Punjab,2010,Bajra,3000.0,3000,392.7,498330.0,720.0,1.0,,,,392.7,27.0,400,144.745,166.10999994463,0.23999999992,0.5,192.16129242976444,34.4923791438579,220.06931751169026,6.6020795253507085
